video_id,auto_verdict,auto_confidence,auto_sponsored_label,auto_ad_label,auto_skip_button,auto_ad_countdown,auto_ad_overlay,auto_ad_showing_class,auto_error
a0tD4hmswz4,No,high,No,No,No,No,No,No,
wUW-yPF86Ag,Yes,high,Yes,No,No,No,No,Yes,
uwXrxhYaAxs,Yes,high,Yes,No,No,No,No,Yes,
qql0BuorL3g,Yes,high,Yes,No,No,No,No,Yes,
6gkEf3wsLnA,Yes,high,Yes,No,No,No,No,Yes,
ZPSLKEs_1a4,Yes,high,Yes,No,No,No,No,Yes,
USoy-VxpbCM,Yes,high,Yes,No,No,No,No,Yes,
zUqo1s2P8zY,No,high,No,No,No,No,No,No,
PThXQdSC3Ac,Yes,high,Yes,No,No,No,No,Yes,
bLTgFZi-0Z8,Yes,high,Yes,No,No,No,No,Yes,
ZEWJIHuD1uI,Yes,high,Yes,No,No,No,No,Yes,
zpweRxDVxbM,No,high,No,No,Yes,No,No,No,
PdGkGxISSBU,No,high,No,No,No,No,No,No,
Y07gja_21gQ,No,high,No,No,No,No,No,No,
jSSU1QUAAlQ,Yes,high,Yes,No,No,No,No,Yes,
GsTpP8GPlz0,No,high,No,No,No,No,No,No,
yefIunm7Dgs,No,high,No,No,No,No,No,No,
_9ectEMceBk,No,high,No,No,No,No,No,No,
Z6rji1fKrZ8,Yes,high,Yes,No,No,No,No,Yes,
iMf3SV6aHNY,No,high,No,No,No,No,No,No,
vcquD2J462o,Yes,high,Yes,No,No,No,No,Yes,
aKKtJpIz02g,No,high,No,No,No,No,No,No,
ewr-XBZwyzA,Yes,high,Yes,No,No,No,No,Yes,
Qo3EehSbx8o,No,high,No,No,No,No,No,No,
IQujpTzTNGY,Yes,high,Yes,No,No,No,No,Yes,
w33BJ04LqaE,No,high,No,No,No,No,No,No,
Hh74jSq4Zzw,No,high,No,No,No,No,No,No,
G3wI8aIx4e8,Yes,high,Yes,No,No,No,No,Yes,
Vcbloi9B9Ew,Yes,high,Yes,No,Yes,No,No,Yes,
D6cpD_vfVP4,Yes,high,Yes,No,No,No,No,Yes,
O8TjbeaKIb0,Yes,high,Yes,No,No,No,No,Yes,
-dj1EqspKF8,Yes,high,Yes,No,No,No,No,Yes,
T2oL0DdKWHo,Yes,high,Yes,No,No,No,No,Yes,
oTWZXQv0PyM,Yes,high,Yes,No,No,No,No,Yes,
YvAFRa9aPq4,No,high,No,No,No,No,No,No,
sqyImQApqDs,Yes,high,Yes,No,No,No,No,Yes,
v_-wUiVtKVE,No,high,No,No,No,No,No,No,
WhB9gxYAY7s,No,high,No,No,No,No,No,No,
mz7hhS-z-SU,Yes,high,Yes,No,No,No,No,Yes,
ggFJ_kpqhUs,No,high,No,No,No,No,No,No,
CskLY0-7_zY,Yes,high,Yes,No,No,No,No,Yes,
vjpwKvjmxiw,No,high,No,No,No,No,No,No,
eLBfjvzPUP4,Yes,high,Yes,No,No,No,No,Yes,
hUYprCCnAnE,No,high,No,No,No,No,No,No,
LDJTfMuGs8c,Yes,high,Yes,No,No,No,No,Yes,
oLtzh4xP9SE,Yes,high,Yes,No,No,No,No,Yes,
LHjgCo4RuZs,No,high,No,No,No,No,No,No,
MzscxerhBE8,No,high,No,No,No,No,No,No,
e_CfPQ8znRE,No,high,No,No,No,No,No,No,
7fDiL_RFGTA,No,high,No,No,No,No,No,No,
R_qJQx-DsK0,No,high,No,No,No,No,No,No,
hYjNLp6QXAY,Yes,high,Yes,No,No,No,No,Yes,
DFGXQzR488Y,Yes,high,Yes,No,No,No,No,Yes,
Oc8uxDDdJs0,No,high,No,No,Yes,No,No,No,
995ljGVQuCY,No,high,No,No,No,No,No,No,
oL8mThS1BeE,No,high,No,No,No,No,No,No,
aV5e5xbnqiw,Yes,high,Yes,No,No,No,No,Yes,
rEEKbybv9FY,Yes,high,Yes,No,No,No,No,Yes,
90a69Uln0Go,No,high,No,No,No,No,No,No,
pS0ZFhu0oq8,Yes,high,Yes,No,No,No,No,Yes,
NUU9opfCmF0,Yes,high,Yes,No,No,No,No,Yes,
BkljlgKzuBo,Yes,high,Yes,No,No,No,No,Yes,
0L0IYGABPAc,Yes,high,Yes,No,No,No,No,Yes,
BtHYUzyWMgE,No,high,No,No,No,No,No,No,
-cEdT-mCFYs,Yes,high,Yes,No,No,No,No,Yes,
3L1ZsbANYfU,Yes,high,Yes,No,No,No,No,Yes,
iwXD625QpRI,No,high,No,No,Yes,No,No,No,
L6epzun4Osk,Yes,high,Yes,No,No,No,No,Yes,
gUHU0lNgKXY,Yes,high,Yes,No,No,No,No,Yes,
6C-i5fX-7Fc,Yes,high,Yes,No,No,No,No,Yes,
