video_id,video_title,source,is_creator,algospeak_term,original_meaning,category,occurrences,context
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,accountant,sex worker,sexual,1,Hi corporate Accountant here. Its all one big tax write off. she earns un...
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,accountant,sex worker,sexual,1,I'm an accountant and all I get it's deadlines and ad-hoc queries o...
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,accountable,cancelled,other,1,"...software teams and meetings I have to run, and am accountable for getting features released into production  Ho..."
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,bs,bullshit,profanity,1,...nd Whole Foods snacks. You must be right it’s all bs.
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,bs,bullshit,profanity,1,"...nstitutes masculinity, bud.  1.c. The wage gap is BS, it has been debunked a million times over, and I..."
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,in jail,banned/suspended,platform_moderation,1,"...ambitions, shows up in the crime stats or ennd up in jail, or simply lose themselves in the gaming world or..."
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,bs,bullshit,profanity,2,"...y a janitor, I just scrub toilets and mop floors. Bs is bs no matter what, seems like this lady is jus..."
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,bs,bullshit,profanity,2,"...nitor, I just scrub toilets and mop floors. Bs is bs no matter what, seems like this lady is just codd..."
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,accountant,sex worker,sexual,1,yeah thats what i was thinking like if i was an accountant at a tech company it wouldnt mean im in tech she...
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,bs,bullshit,profanity,1,...surance is one of the worst culprits of corporate BS. There’s a lot of wasted time in any office but i...
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,bs,bullshit,profanity,1,...ary guy and break into the middle class! I have a BS in chemistry and I was published a couple times....
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,sh*t,shit,profanity,1,holy sh*t
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,bs,bullshit,profanity,1,"...urned out by my Boss refusing to adapt to all the BS with Covid, I would almost willingly don the shac..."
-cEdT-mCFYs,Corporate America Is Adult Day Care,comment,False,the algorithm,content moderation system,other,1,...people need to see it so I'm commenting just for the algorithm.
