video_id,auto_verdict,auto_confidence,auto_sponsored_label,auto_ad_label,auto_skip_button,auto_ad_countdown,auto_ad_overlay,auto_ad_showing_class,auto_error
Kh0el8phS_o,Yes,high,Yes,No,No,No,No,Yes,
6skuCiLCjRA,Yes,high,Yes,No,No,No,No,Yes,
E_TDQo9Zpv8,Yes,high,Yes,No,No,No,No,Yes,
ptyng78A0jk,Yes,high,Yes,No,No,No,No,Yes,
CFDDf48nj9g,No,high,No,No,No,No,No,No,
SmpkdPm9eeQ,No,high,No,No,No,No,No,No,
Fu-MDEXwV4s,No,high,No,No,No,No,No,No,
7Bd_H8Cyago,No,high,No,No,No,No,No,No,
1b-QtoSfM38,Yes,high,Yes,No,No,No,No,Yes,
VC4sAaV1eBs,Yes,high,Yes,No,No,No,No,Yes,
sc-euVL8xQs,Yes,high,Yes,No,No,No,No,Yes,
O8UzmLsXGRU,No,high,No,No,No,No,No,No,
ejdlkfXwPQc,Yes,high,Yes,No,No,No,No,Yes,
I_HdqYCDcVE,Yes,high,Yes,No,No,No,No,Yes,
FX8Iw37srmY,No,high,No,No,No,No,No,No,
2o3pkoZyYRA,Yes,high,Yes,No,No,No,No,Yes,
69obN625Fjs,Yes,high,Yes,No,No,No,No,Yes,
hUFvG4RpwJI,Yes,high,Yes,No,No,No,No,Yes,
_BIMxxfRBX4,Yes,high,Yes,No,No,No,No,Yes,
sBODfLEZfWg,No,high,No,No,No,No,No,No,
GohlQuOJLpE,No,high,No,No,No,No,No,No,
b8AcmzqFdPM,No,high,No,No,No,No,No,No,
a0g0BDEid8M,No,high,No,No,No,No,No,No,
k9YNL7mzcfM,Yes,high,Yes,No,No,No,No,Yes,
gfHXJRqq-qo,Yes,high,Yes,No,No,No,No,Yes,
02H462il4wo,No,high,No,No,No,No,No,No,
HOHthnsuhPw,Yes,high,Yes,No,No,No,No,Yes,
qlrpSpwxgWw,Yes,high,Yes,No,No,No,No,Yes,
kS2_YFbzAVs,Yes,high,Yes,No,No,No,No,Yes,
