video_id,title,channel_name,ad_status,sw_violence_death,sw_sexual_content,sw_profanity,sw_drugs_substances,sw_hate_speech_slurs,sw_mental_health,sw_political_controversial,sw_weapons_military,sw_coded_numbers,sw_total,as_drugs,as_mental_health,as_other,as_platform_moderation,as_profanity,as_sexual,as_violence_death,as_weapons,as_total
-1ZbQO_VR4o,Interview w/ Professor Tim Orr: On The Charge of the First Minnesota. - Part. 2.,midwesternmarx,Yes,15,1,3,0,1,2,33,8,0,63,0,0,0,0,0,0,0,0,0
-3AwS2USPhM,Carlos Garrido on the ACP and the US | Marx Engels Lenin Institute,midwesternmarx,Yes,22,0,6,0,15,0,21,2,0,66,0,0,1,0,0,0,0,0,1
-5cp4L8pIG8,,,Yes,15,0,5,0,0,0,1,1,0,22,0,0,0,0,0,0,0,0,0
-8Ui4ptkDgc,"A Chat With Industrial Worker and Union Member, Steve Meier",midwesternmarx,Yes,5,1,0,0,1,0,17,0,0,24,0,0,0,0,0,0,0,0,0
-BGePMlXfLQ,People teach this?!,Shadiversity,No,4,0,4,0,0,0,6,1,0,15,0,0,0,0,0,0,0,0,0
-ax8UMgwrww,Crash And Burn - The JJ Abrams Story,The Critical Drinker,Yes,8,0,3,0,1,0,19,0,0,31,0,0,0,0,0,0,0,0,0
-bp3jkcHAxc,,,Yes,5,0,5,0,0,0,11,2,0,23,0,0,0,0,0,0,0,0,0
-cEdT-mCFYs,Corporate America Is Adult Day Care,The Podcast of the Lotus Eaters,Yes,0,0,4,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0
-dj1EqspKF8,Woke DA Orders Prosecutors To Go Soft On Black Criminals,Actual Justice Warrior,Yes,39,0,5,0,49,0,38,1,0,132,0,0,4,0,0,0,0,0,4
-kGiENpkWIM,Unpacking Hip Hop's Allegiance to Abusers | OLAY & FRIENDS,olurinatti,,74,26,42,0,68,3,69,1,0,283,1,0,2,0,0,0,0,0,3
-nzty8CDhV4,,,Yes,2,0,4,0,0,0,5,0,0,11,0,0,1,0,2,0,0,0,3
-qDieARqKdM,Why Tay K Did The Race,olurinatti,,50,0,2,0,25,0,30,8,0,115,0,0,0,0,0,0,0,0,0
02H462il4wo,Diversity in World War 2,Three Arrows,No,0,0,7,1,25,0,17,0,0,50,0,0,0,0,0,0,0,0,0
0EZrD1D9Das,,,Yes,0,0,2,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0
0L0IYGABPAc,Irish Patriots Defeat Antifa and Find Feds,The Podcast of the Lotus Eaters,Yes,1,0,2,0,15,0,11,0,0,29,0,0,0,0,0,0,0,0,0
0P7OTVd8o4g,Pokimane's Return Stream was a Disaster,Hero Hei,Yes,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0PJjjQgl2BE,,,Yes,3,0,1,0,0,1,13,0,0,18,0,0,0,0,0,0,0,0,0
0Yvjf6JL2o0,,,Yes,1,0,2,0,4,0,1,0,0,8,0,0,0,0,0,0,0,0,0
0efB-VfZXHk,The US's War on Iran and the Iran-Cuba Friendship | Shabbir Rizvi,midwesternmarx,Yes,7,0,3,0,9,0,19,1,0,39,0,0,0,0,1,0,0,0,1
0joT_T6CsDg,Nobody 2 - A Fun But Predictable Sequel,The Critical Drinker,Yes,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
0oU_bhuLQXY,,,Yes,6,0,3,0,2,1,8,0,0,20,0,0,0,0,0,0,0,0,0
